url_length,has_at_symbol,has_https,num_dots,has_ip,domain_age_days,has_suspicious_words,num_subdomains,is_trusted_tld,is_malformed_url,is_known_legit_domain,label
33,0,0,1,0,14,1,0,0,0,0,1
15,0,1,1,0,1093,0,0,1,0,1,0
17,0,0,1,0,1091,0,0,0,0,1,0
19,0,0,1,0,1346,0,0,0,0,1,0
21,0,1,1,0,1729,0,0,1,0,1,0
38,0,0,2,0,275,1,0,0,0,0,1
16,0,1,1,0,877,0,0,0,0,1,0
36,0,0,3,0,643,0,1,0,0,0,1
16,0,1,1,0,882,0,0,0,0,1,0
24,0,0,3,1,101,1,0,0,0,0,1
24,0,1,2,0,1331,0,0,0,0,1,0
21,0,1,1,0,1437,0,0,0,0,1,0
24,0,1,2,0,1346,0,0,0,0,1,0
20,0,1,1,0,1608,0,0,1,0,1,0
30,1,0,2,0,1479,0,0,0,0,0,1
19,0,1,1,0,1202,0,0,0,0,1,0
37,0,0,2,0,122,1,0,0,0,0,1
20,0,0,1,0,1729,0,0,1,0,1,0
39,0,0,1,0,1331,0,0,0,0,0,1
20,0,1,1,0,1331,0,0,0,0,1,0
31,0,0,1,0,196,1,0,0,0,0,1
23,0,1,2,0,1201,0,0,0,0,1,0
26,0,0,4,1,50,1,0,0,0,0,1
28,0,0,4,1,101,1,0,0,0,0,1
43,0,0,2,0,1331,0,0,0,0,0,1
34,0,0,1,0,275,1,0,0,0,0,1
20,0,0,1,0,1426,0,0,0,0,1,0
23,0,1,2,0,1202,0,0,0,0,1,0
26,0,1,2,0,1547,0,0,0,0,1,0
20,0,1,2,0,931,0,0,0,0,1,0
23,0,1,2,0,1211,0,0,0,0,1,0
20,0,1,2,0,1551,0,0,1,0,1,0
37,0,0,2,0,14,1,0,0,0,0,1
18,0,1,1,0,1091,0,0,0,0,1,0
32,0,0,1,0,637,0,0,0,0,0,1
21,0,1,1,0,1391,0,0,0,0,1,0
35,0,0,1,0,53,1,0,0,0,0,1
24,0,0,3,1,101,1,0,0,0,0,1
33,0,0,2,0,265,1,0,0,0,0,1
36,0,1,3,0,549,0,1,0,0,1,0
31,0,0,2,0,549,0,1,0,0,1,0
11,0,0,0,0,563,0,0,0,1,0,1
32,0,0,1,0,637,0,0,0,0,0,1
17,0,0,2,0,1342,0,0,1,0,1,0
24,0,1,2,0,1346,0,0,0,0,1,0
23,0,1,2,0,1206,0,0,0,0,1,0
33,0,0,1,0,128,1,0,0,0,0,1
20,0,1,1,0,1312,0,0,0,0,1,0
25,0,1,3,0,1656,0,0,1,0,1,0
25,0,1,2,0,1728,0,0,1,0,1,0
30,1,0,2,0,1479,0,0,0,0,0,1
16,0,1,1,0,882,0,0,0,0,1,0
19,0,0,1,0,1347,0,0,0,0,1,0
15,0,1,1,0,1093,0,0,1,0,1,0
22,0,1,1,0,1547,0,0,0,0,1,0
21,0,0,1,0,1525,0,0,0,0,1,0
27,0,1,2,0,1622,0,0,0,0,1,0
33,0,0,1,0,170,1,0,0,0,0,1
23,0,1,2,0,1201,0,0,0,0,1,0
42,0,0,1,0,1715,0,0,0,0,0,1
22,0,1,1,0,1525,0,0,0,0,1,0
35,0,0,2,0,230,1,0,0,0,0,1
19,0,1,1,0,1208,0,0,0,0,1,0
22,0,1,1,0,1531,0,0,0,0,1,0
24,0,1,2,0,1312,0,0,0,0,1,0
38,0,0,2,0,225,1,0,0,0,0,1
39,0,0,2,0,17,1,0,0,0,0,1
27,0,0,2,0,62,1,0,1,0,0,1
20,0,1,1,0,1346,0,0,0,0,1,0
38,0,0,2,0,225,1,0,0,0,0,1
36,0,0,2,0,637,0,0,0,0,0,1
32,0,1,2,0,549,0,1,0,0,1,0
22,0,0,3,1,50,1,0,0,0,0,1
18,0,1,1,0,1135,0,0,0,0,1,0
36,0,0,2,0,637,0,0,0,0,0,1
16,0,1,1,0,1194,0,0,1,0,1,0
37,0,0,2,0,122,1,0,0,0,0,1
38,0,0,2,0,275,1,0,0,0,0,1
41,0,0,2,0,248,1,0,0,0,0,1
26,0,0,1,0,64,1,0,0,0,0,1
20,0,1,1,0,1331,0,0,0,0,1,0
33,0,0,1,0,274,1,0,0,0,0,1
37,0,0,5,0,29,1,3,0,0,0,1
43,0,0,2,0,1331,0,0,0,0,0,1
43,0,0,2,0,203,1,0,0,0,0,1
16,0,1,1,0,1194,0,0,1,0,1,0
16,0,1,1,0,877,0,0,0,0,1,0
23,0,0,1,0,62,1,0,1,0,0,1
26,0,0,1,0,256,1,0,1,0,0,1
41,0,0,2,0,248,1,0,0,0,0,1
36,0,1,3,0,549,0,1,0,0,1,0
33,0,0,1,0,128,1,0,0,0,0,1
25,0,0,2,0,1547,0,0,0,0,1,0
18,0,1,2,0,1021,0,0,0,0,1,0
34,0,0,2,0,85,1,0,0,0,0,1
32,0,1,2,0,549,0,1,0,0,1,0
25,0,1,2,0,1426,0,0,0,0,1,0
18,0,1,1,0,1095,0,0,0,0,1,0
26,0,1,1,0,1983,0,0,0,0,1,0
20,0,0,2,0,1656,0,0,1,0,1,0
39,0,0,2,0,17,1,0,0,0,0,1
33,0,0,1,0,14,1,0,0,0,0,1
32,0,0,1,0,589,0,0,0,0,0,1
22,0,0,3,1,50,1,0,0,0,0,1
20,0,1,2,0,1551,0,0,1,0,1,0
20,0,1,2,0,877,0,0,0,0,1,0
21,0,1,1,0,1426,0,0,0,0,1,0
38,0,0,2,0,275,1,0,0,0,0,1
38,0,0,2,0,275,1,0,0,0,0,1
37,0,0,2,0,128,1,0,0,0,0,1
38,0,0,2,0,225,1,0,0,0,0,1
39,0,0,1,0,1331,0,0,0,0,0,1
25,0,0,2,0,219,1,0,1,0,0,1
20,0,1,1,0,1347,0,0,0,0,1,0
33,0,0,1,0,128,1,0,0,0,0,1
15,0,0,1,0,1009,0,0,1,0,0,1
41,0,0,2,0,248,1,0,0,0,0,1
46,0,0,2,0,1715,0,0,0,0,0,1
21,0,1,1,0,1437,0,0,0,0,1,0
24,0,1,3,0,1551,0,0,1,0,1,0
39,0,0,1,0,183,1,0,0,0,0,1
14,0,0,1,0,1093,0,0,1,0,1,0
19,0,0,2,0,882,0,0,0,0,1,0
15,0,1,1,0,1093,0,0,1,0,1,0
31,0,0,1,0,195,1,0,0,0,0,1
35,0,0,2,0,196,1,0,0,0,0,1
18,0,1,1,0,1107,0,0,0,0,1,0
20,0,0,1,0,1437,0,0,0,0,1,0
36,0,0,2,0,589,0,0,0,0,0,1
37,0,0,2,0,170,1,0,0,0,0,1
21,0,0,3,0,1021,0,0,0,0,1,0
32,0,0,1,0,637,0,0,0,0,0,1
20,0,0,1,0,1729,0,0,1,0,1,0
22,0,1,3,0,1021,0,0,0,0,1,0
36,0,0,3,0,643,0,1,0,0,0,1
18,0,0,2,0,1438,0,0,1,0,1,0
20,0,1,1,0,1608,0,0,1,0,1,0
36,0,0,3,0,643,0,1,0,0,0,1
16,0,1,1,0,931,0,0,0,0,1,0
32,0,0,1,0,589,0,0,0,0,0,1
24,0,1,2,0,1346,0,0,0,0,1,0
19,0,0,2,0,884,0,0,0,0,1,0
23,0,1,2,0,1202,0,0,0,0,1,0
34,0,0,2,0,85,1,0,0,0,0,1
37,0,0,2,0,122,1,0,0,0,0,1
34,0,0,1,0,275,1,0,0,0,0,1
37,0,0,2,0,170,1,0,0,0,0,1
32,0,0,1,0,637,0,0,0,0,0,1
23,0,1,2,0,1211,0,0,0,0,1,0
31,0,0,1,0,196,1,0,0,0,0,1
43,0,0,2,0,136,1,0,0,0,0,1
18,0,1,1,0,1135,0,0,0,0,1,0
20,0,0,1,0,1426,0,0,0,0,1,0
23,0,1,3,0,1438,0,0,1,0,1,0
20,0,0,2,0,1656,0,0,1,0,1,0
27,0,0,4,1,100,1,0,0,0,0,1
42,0,0,1,0,1715,0,0,0,0,0,1
32,0,0,2,0,643,0,1,0,0,0,1
23,0,1,2,0,1248,0,0,0,0,1,0
19,0,0,2,0,884,0,0,0,0,1,0
24,0,1,2,0,1346,0,0,0,0,1,0
19,0,1,1,0,1240,0,0,0,0,1,0
34,0,0,1,0,275,1,0,0,0,0,1
18,0,1,1,0,1091,0,0,0,0,1,0
19,0,0,2,0,877,0,0,0,0,1,0
33,0,0,1,0,14,1,0,0,0,0,1
36,0,0,3,0,643,0,1,0,0,0,1
10,0,0,0,0,394,0,0,0,1,0,1
15,0,0,1,0,1194,0,0,1,0,1,0
19,0,1,1,0,1208,0,0,0,0,1,0
15,0,0,1,0,1009,0,0,1,0,0,1
43,0,0,2,0,203,1,0,0,0,0,1
20,0,1,2,0,1551,0,0,1,0,1,0
37,0,0,2,0,122,1,0,0,0,0,1
32,0,0,2,0,643,0,1,0,0,0,1
18,0,1,2,0,1342,0,0,1,0,1,0
23,0,1,3,0,1438,0,0,1,0,1,0
32,0,0,2,0,643,0,1,0,0,0,1
20,0,1,2,0,1551,0,0,1,0,1,0
32,0,1,2,0,549,0,1,0,0,1,0
34,0,0,2,0,105,1,0,0,0,0,1
31,0,0,1,0,196,1,0,0,0,0,1
19,0,1,1,0,1201,0,0,0,0,1,0
26,1,0,1,0,1479,0,0,0,0,0,1
33,0,0,1,0,88,1,0,0,0,0,1
37,0,0,1,0,248,1,0,0,0,0,1
43,0,0,2,0,183,1,0,0,0,0,1
31,0,0,2,0,549,0,1,0,0,1,0
15,0,0,1,0,931,0,0,0,0,1,0
33,0,0,4,0,29,1,3,0,0,0,1
39,0,0,2,0,53,1,0,0,0,0,1
26,0,0,1,0,256,1,0,1,0,0,1
18,0,1,2,0,1021,0,0,0,0,1,0
31,0,0,1,0,196,1,0,0,0,0,1
14,0,0,1,0,1093,0,0,1,0,1,0
17,0,0,1,0,1095,0,0,0,0,1,0
27,0,0,4,1,100,1,0,0,0,0,1
21,0,0,3,0,1021,0,0,0,0,1,0
22,0,1,3,0,1021,0,0,0,0,1,0
20,0,0,2,0,1656,0,0,1,0,1,0
23,0,1,1,0,1622,0,0,0,0,1,0
35,0,0,1,0,53,1,0,0,0,0,1
39,0,0,1,0,136,1,0,0,0,0,1
21,0,1,1,0,1411,0,0,0,0,1,0
30,0,1,2,0,1983,0,0,0,0,1,0
24,0,1,3,0,1551,0,0,1,0,1,0
33,0,0,1,0,170,1,0,0,0,0,1
35,0,0,1,0,17,1,0,0,0,0,1
19,0,0,1,0,1608,0,0,1,0,1,0
19,0,1,1,0,1248,0,0,0,0,1,0
36,0,0,3,0,643,0,1,0,0,0,1
20,0,1,2,0,931,0,0,0,0,1,0
23,0,1,2,0,1206,0,0,0,0,1,0
42,0,0,1,0,1715,0,0,0,0,0,1
18,0,0,1,0,1208,0,0,0,0,1,0
34,0,0,2,0,105,1,0,0,0,0,1
19,0,1,1,0,1211,0,0,0,0,1,0
36,0,0,2,0,589,0,0,0,0,0,1
21,0,1,1,0,1411,0,0,0,0,1,0
20,0,0,1,0,1729,0,0,1,0,1,0
33,0,0,1,0,128,1,0,0,0,0,1
23,0,1,2,0,1240,0,0,0,0,1,0
19,0,0,2,0,884,0,0,0,0,1,0
33,0,0,1,0,170,1,0,0,0,0,1
16,0,1,1,0,931,0,0,0,0,1,0
37,0,0,2,0,128,1,0,0,0,0,1
25,0,1,2,0,1426,0,0,0,0,1,0
19,0,0,2,0,1009,0,0,1,0,0,1
43,0,0,2,0,136,1,0,0,0,0,1
35,0,0,2,0,230,1,0,0,0,0,1
37,0,0,2,0,122,1,0,0,0,0,1
25,0,1,2,0,1729,0,0,1,0,1,0
18,0,0,1,0,1201,0,0,0,0,1,0
16,0,1,1,0,882,0,0,0,0,1,0
20,0,0,1,0,1728,0,0,1,0,1,0
15,0,1,1,0,1075,0,0,1,0,1,0
38,0,0,2,0,275,1,0,0,0,0,1
16,0,1,1,0,931,0,0,0,0,1,0
32,0,1,2,0,549,0,1,0,0,1,0
22,0,0,3,1,50,1,0,0,0,0,1
34,0,0,2,0,105,1,0,0,0,0,1
25,0,0,2,0,219,1,0,1,0,0,1
33,0,0,1,0,128,1,0,0,0,0,1
15,0,0,1,0,1194,0,0,1,0,1,0
16,0,1,1,0,884,0,0,0,0,1,0
36,0,1,3,0,549,0,1,0,0,1,0
15,0,0,1,0,1194,0,0,1,0,1,0
33,0,0,1,0,128,1,0,0,0,0,1
33,0,0,1,0,88,1,0,0,0,0,1
18,0,0,1,0,1201,0,0,0,0,1,0
31,0,0,1,0,230,1,0,0,0,0,1
33,0,0,1,0,14,1,0,0,0,0,1
22,0,1,1,0,1531,0,0,0,0,1,0
19,0,1,1,0,1206,0,0,0,0,1,0
16,0,1,1,0,931,0,0,0,0,1,0
25,0,1,2,0,1728,0,0,1,0,1,0
33,0,0,1,0,170,1,0,0,0,0,1
26,0,0,1,0,64,1,0,0,0,0,1
33,0,0,1,0,128,1,0,0,0,0,1
18,0,0,1,0,1201,0,0,0,0,1,0
33,0,0,1,0,128,1,0,0,0,0,1
37,0,0,2,0,170,1,0,0,0,0,1
35,0,0,2,0,196,1,0,0,0,0,1
19,0,1,1,0,1208,0,0,0,0,1,0
15,0,0,1,0,1194,0,0,1,0,1,0
20,0,1,1,0,1331,0,0,0,0,1,0
33,0,0,2,0,265,1,0,0,0,0,1
21,0,1,2,0,1297,0,0,1,0,1,0
16,0,1,1,0,931,0,0,0,0,1,0
32,0,1,2,0,549,0,1,0,0,1,0
18,0,1,1,0,1091,0,0,0,0,1,0
17,0,0,1,0,1107,0,0,0,0,1,0
37,0,0,2,0,274,1,0,0,0,0,1
22,0,1,2,0,1135,0,0,0,0,1,0
26,0,1,2,0,1531,0,0,0,0,1,0
29,0,0,1,0,265,1,0,0,0,0,1
32,0,0,2,0,643,0,1,0,0,0,1
30,0,0,2,0,64,1,0,0,0,0,1
25,0,1,2,0,1391,0,0,0,0,1,0
39,0,0,2,0,17,1,0,0,0,0,1
24,0,0,2,0,1411,0,0,0,0,1,0
23,0,1,2,0,1201,0,0,0,0,1,0
14,0,0,1,0,1075,0,0,1,0,1,0
37,0,0,2,0,274,1,0,0,0,0,1
22,0,0,1,0,1622,0,0,0,0,1,0
23,0,1,2,0,1240,0,0,0,0,1,0
20,0,1,2,0,1551,0,0,1,0,1,0
34,0,0,2,0,85,1,0,0,0,0,1
33,0,0,2,0,265,1,0,0,0,0,1
25,0,0,1,0,1983,0,0,0,0,1,0
26,0,1,2,0,1531,0,0,0,0,1,0
20,0,1,2,0,877,0,0,0,0,1,0
19,0,0,2,0,877,0,0,0,0,1,0
18,0,1,1,0,1072,0,0,0,0,1,0
43,0,0,2,0,203,1,0,0,0,0,1
17,0,0,1,0,1091,0,0,0,0,1,0
20,0,0,1,0,1728,0,0,1,0,1,0
24,0,1,2,0,1608,0,0,1,0,1,0
20,0,0,1,0,1391,0,0,0,0,1,0
37,0,0,2,0,76,1,0,0,0,0,1
43,0,0,2,0,1331,0,0,0,0,0,1
33,0,0,1,0,170,1,0,0,0,0,1
37,0,0,2,0,122,1,0,0,0,0,1
19,0,1,1,0,1206,0,0,0,0,1,0
21,0,1,1,0,1411,0,0,0,0,1,0
25,0,1,2,0,1728,0,0,1,0,1,0
33,0,0,4,0,29,1,3,0,0,0,1
34,0,0,2,0,105,1,0,0,0,0,1
25,0,1,2,0,1729,0,0,1,0,1,0
36,0,0,3,0,643,0,1,0,0,0,1
14,0,0,1,0,1093,0,0,1,0,1,0
26,1,0,1,0,1479,0,0,0,0,0,1
39,0,0,1,0,1331,0,0,0,0,0,1
19,0,0,1,0,1608,0,0,1,0,1,0
32,0,0,1,0,637,0,0,0,0,0,1
27,0,0,4,1,100,1,0,0,0,0,1
30,0,0,1,0,105,1,0,0,0,0,1
37,0,0,2,0,88,1,0,0,0,0,1
25,0,0,1,0,1983,0,0,0,0,1,0
39,0,0,1,0,203,1,0,0,0,0,1
41,0,0,2,0,248,1,0,0,0,0,1
36,0,0,3,0,643,0,1,0,0,0,1
21,0,1,1,0,1411,0,0,0,0,1,0
36,0,0,3,0,643,0,1,0,0,0,1
22,0,1,3,0,1342,0,0,1,0,1,0
20,0,0,2,0,1656,0,0,1,0,1,0
26,0,0,1,0,256,1,0,1,0,0,1
25,0,1,2,0,1729,0,0,1,0,1,0
20,0,1,1,0,1331,0,0,0,0,1,0
18,0,0,1,0,1208,0,0,0,0,1,0
27,0,0,4,1,100,1,0,0,0,0,1
30,0,0,1,0,105,1,0,0,0,0,1
39,0,0,1,0,203,1,0,0,0,0,1
23,0,1,2,0,1206,0,0,0,0,1,0
19,0,0,1,0,1327,0,0,0,0,1,0
33,0,0,1,0,170,1,0,0,0,0,1
23,0,1,2,0,1240,0,0,0,0,1,0
34,0,0,2,0,85,1,0,0,0,0,1
26,0,1,2,0,1525,0,0,0,0,1,0
34,0,0,1,0,275,1,0,0,0,0,1
21,0,1,2,0,1656,0,0,1,0,1,0
36,0,0,2,0,637,0,0,0,0,0,1
34,0,0,1,0,225,1,0,0,0,0,1
18,0,1,1,0,1135,0,0,0,0,1,0
33,0,0,1,0,88,1,0,0,0,0,1
35,0,0,2,0,196,1,0,0,0,0,1
38,0,0,2,0,275,1,0,0,0,0,1
26,0,1,1,0,1983,0,0,0,0,1,0
19,0,0,1,0,1327,0,0,0,0,1,0
19,0,0,1,0,1608,0,0,1,0,1,0
19,0,1,1,0,1201,0,0,0,0,1,0
35,0,0,1,0,17,1,0,0,0,0,1
22,0,1,3,0,1342,0,0,1,0,1,0
20,0,1,1,0,1346,0,0,0,0,1,0
26,0,0,1,0,256,1,0,1,0,0,1
33,0,0,1,0,128,1,0,0,0,0,1
24,0,0,2,0,1411,0,0,0,0,1,0
30,0,0,2,0,256,1,0,1,0,0,1
37,0,0,2,0,14,1,0,0,0,0,1
32,0,0,1,0,589,0,0,0,0,0,1
39,0,0,2,0,17,1,0,0,0,0,1
34,0,0,2,0,85,1,0,0,0,0,1
19,0,0,2,0,884,0,0,0,0,1,0
41,0,0,2,0,248,1,0,0,0,0,1
26,1,0,1,0,1479,0,0,0,0,0,1
20,0,0,1,0,1391,0,0,0,0,1,0
23,0,1,1,0,1622,0,0,0,0,1,0
24,0,0,3,1,101,1,0,0,0,0,1
28,0,0,4,1,101,1,0,0,0,0,1
34,0,0,2,0,105,1,0,0,0,0,1
24,0,1,3,0,1551,0,0,1,0,1,0
18,0,1,1,0,1091,0,0,0,0,1,0
19,0,1,1,0,1211,0,0,0,0,1,0
31,0,0,1,0,195,1,0,0,0,0,1
15,0,0,1,0,1194,0,0,1,0,1,0
20,0,1,1,0,1327,0,0,0,0,1,0
39,0,0,2,0,17,1,0,0,0,0,1
24,0,1,2,0,1312,0,0,0,0,1,0
33,0,0,1,0,76,1,0,0,0,0,1
16,0,1,1,0,931,0,0,0,0,1,0
46,0,0,2,0,1715,0,0,0,0,0,1
23,0,1,2,0,1248,0,0,0,0,1,0
36,0,0,2,0,589,0,0,0,0,0,1
43,0,0,2,0,136,1,0,0,0,0,1
28,0,0,4,1,101,1,0,0,0,0,1
36,0,1,3,0,549,0,1,0,0,1,0
33,0,0,1,0,88,1,0,0,0,0,1
16,0,1,1,0,877,0,0,0,0,1,0
33,0,0,1,0,88,1,0,0,0,0,1
19,0,1,1,0,1208,0,0,0,0,1,0
37,0,0,2,0,14,1,0,0,0,0,1
22,0,1,3,0,1342,0,0,1,0,1,0
30,0,0,2,0,256,1,0,1,0,0,1
18,0,0,1,0,1248,0,0,0,0,1,0
21,0,0,3,0,1021,0,0,0,0,1,0
22,0,1,3,0,1342,0,0,1,0,1,0
21,0,1,1,0,1411,0,0,0,0,1,0
28,0,0,4,1,101,1,0,0,0,0,1
19,0,0,2,0,882,0,0,0,0,1,0
22,0,1,2,0,1072,0,0,0,0,1,0
18,0,1,1,0,1135,0,0,0,0,1,0
33,0,0,1,0,274,1,0,0,0,0,1
18,0,0,1,0,1240,0,0,0,0,1,0
24,0,1,2,0,1346,0,0,0,0,1,0
24,0,1,2,0,1327,0,0,0,0,1,0
25,0,1,2,0,1728,0,0,1,0,1,0
20,0,0,2,0,1297,0,0,1,0,1,0
20,0,1,2,0,884,0,0,0,0,1,0
35,0,0,2,0,230,1,0,0,0,0,1
46,0,0,2,0,1715,0,0,0,0,0,1
17,0,0,1,0,1135,0,0,0,0,1,0
18,0,1,1,0,1095,0,0,0,0,1,0
19,0,0,2,0,884,0,0,0,0,1,0
31,0,0,1,0,196,1,0,0,0,0,1
36,0,0,3,0,643,0,1,0,0,0,1
27,0,1,2,0,1622,0,0,0,0,1,0
26,1,0,1,0,1479,0,0,0,0,0,1
23,0,1,2,0,1201,0,0,0,0,1,0
23,0,1,2,0,1208,0,0,0,0,1,0
20,0,1,2,0,1551,0,0,1,0,1,0
37,0,0,2,0,14,1,0,0,0,0,1
25,0,1,2,0,1426,0,0,0,0,1,0
35,0,0,2,0,230,1,0,0,0,0,1
30,0,0,1,0,105,1,0,0,0,0,1
19,0,0,1,0,1331,0,0,0,0,1,0
23,0,1,2,0,1208,0,0,0,0,1,0
35,0,0,2,0,195,1,0,0,0,0,1
27,0,0,4,1,100,1,0,0,0,0,1
30,0,0,1,0,105,1,0,0,0,0,1
15,0,0,1,0,1194,0,0,1,0,1,0
30,0,0,1,0,105,1,0,0,0,0,1
37,0,0,2,0,88,1,0,0,0,0,1
35,0,0,1,0,53,1,0,0,0,0,1
17,0,0,1,0,1072,0,0,0,0,1,0
32,0,0,1,0,637,0,0,0,0,0,1
18,0,0,1,0,1206,0,0,0,0,1,0
24,0,1,2,0,1347,0,0,0,0,1,0
33,0,0,1,0,88,1,0,0,0,0,1
15,0,0,1,0,931,0,0,0,0,1,0
20,0,1,1,0,1346,0,0,0,0,1,0
34,0,0,1,0,275,1,0,0,0,0,1
25,0,1,2,0,1728,0,0,1,0,1,0
23,0,0,1,0,62,1,0,1,0,0,1
20,0,1,1,0,1346,0,0,0,0,1,0
19,0,0,2,0,882,0,0,0,0,1,0
20,0,1,1,0,1312,0,0,0,0,1,0
31,0,0,1,0,230,1,0,0,0,0,1
28,0,0,4,1,101,1,0,0,0,0,1
22,0,1,2,0,1072,0,0,0,0,1,0
37,0,0,2,0,170,1,0,0,0,0,1
19,0,0,2,0,1551,0,0,1,0,1,0
30,1,0,2,0,1479,0,0,0,0,0,1
35,0,0,1,0,17,1,0,0,0,0,1
37,0,0,1,0,248,1,0,0,0,0,1
35,0,0,2,0,196,1,0,0,0,0,1
30,1,0,2,0,1479,0,0,0,0,0,1
39,0,0,1,0,1331,0,0,0,0,0,1
43,0,0,2,0,136,1,0,0,0,0,1
18,0,0,1,0,1201,0,0,0,0,1,0
43,0,0,2,0,203,1,0,0,0,0,1
22,0,1,2,0,1091,0,0,0,0,1,0
17,0,0,1,0,1091,0,0,0,0,1,0
36,0,0,2,0,637,0,0,0,0,0,1
25,0,1,2,0,1391,0,0,0,0,1,0
30,0,0,2,0,64,1,0,0,0,0,1
20,0,1,2,0,1194,0,0,1,0,1,0
14,0,0,1,0,1075,0,0,1,0,1,0
25,0,1,3,0,1656,0,0,1,0,1,0
26,0,1,2,0,1531,0,0,0,0,1,0
26,0,0,4,1,50,1,0,0,0,0,1
26,0,0,1,0,256,1,0,1,0,0,1
22,0,1,3,0,1342,0,0,1,0,1,0
15,0,0,1,0,1009,0,0,1,0,0,1
36,0,0,3,0,643,0,1,0,0,0,1
20,0,0,1,0,1728,0,0,1,0,1,0
32,0,0,1,0,637,0,0,0,0,0,1
23,0,1,2,0,1206,0,0,0,0,1,0
43,0,0,2,0,203,1,0,0,0,0,1
36,0,0,2,0,637,0,0,0,0,0,1
24,0,1,2,0,1331,0,0,0,0,1,0
36,0,0,2,0,589,0,0,0,0,0,1
27,0,0,2,0,62,1,0,1,0,0,1
31,0,0,1,0,195,1,0,0,0,0,1
39,0,0,1,0,136,1,0,0,0,0,1
26,0,0,1,0,64,1,0,0,0,0,1
19,0,1,1,0,1201,0,0,0,0,1,0
43,0,0,2,0,1331,0,0,0,0,0,1
15,0,0,1,0,1194,0,0,1,0,1,0
16,0,1,1,0,882,0,0,0,0,1,0
22,0,1,1,0,1547,0,0,0,0,1,0
27,0,0,2,0,62,1,0,1,0,0,1
17,0,0,1,0,1135,0,0,0,0,1,0
37,0,0,2,0,88,1,0,0,0,0,1
21,0,1,1,0,1728,0,0,1,0,1,0
32,0,0,1,0,589,0,0,0,0,0,1
35,0,0,2,0,196,1,0,0,0,0,1
24,0,1,3,0,1551,0,0,1,0,1,0
18,0,1,1,0,1091,0,0,0,0,1,0
20,0,0,1,0,1728,0,0,1,0,1,0
36,0,0,3,0,643,0,1,0,0,0,1
19,0,0,2,0,1009,0,0,1,0,0,1
33,0,0,1,0,88,1,0,0,0,0,1
38,0,0,2,0,275,1,0,0,0,0,1
21,0,1,1,0,1426,0,0,0,0,1,0
26,0,0,1,0,64,1,0,0,0,0,1
22,0,1,2,0,1072,0,0,0,0,1,0
31,0,0,1,0,195,1,0,0,0,0,1
36,0,0,3,0,643,0,1,0,0,0,1
24,0,1,2,0,1608,0,0,1,0,1,0
18,0,1,1,0,1107,0,0,0,0,1,0
25,0,1,2,0,1729,0,0,1,0,1,0
23,0,1,2,0,1211,0,0,0,0,1,0
21,0,1,1,0,1728,0,0,1,0,1,0
18,0,1,1,0,1091,0,0,0,0,1,0
39,0,0,1,0,136,1,0,0,0,0,1
25,0,0,2,0,1547,0,0,0,0,1,0
25,0,1,2,0,1391,0,0,0,0,1,0
24,0,1,3,0,1551,0,0,1,0,1,0
37,0,0,2,0,274,1,0,0,0,0,1
36,0,0,2,0,637,0,0,0,0,0,1
43,0,0,2,0,203,1,0,0,0,0,1
16,0,1,1,0,877,0,0,0,0,1,0
27,0,0,4,1,100,1,0,0,0,0,1
37,0,0,2,0,170,1,0,0,0,0,1
35,0,0,2,0,195,1,0,0,0,0,1
37,0,0,2,0,122,1,0,0,0,0,1
34,0,0,1,0,225,1,0,0,0,0,1
26,0,0,1,0,256,1,0,1,0,0,1
18,0,0,1,0,1248,0,0,0,0,1,0
41,0,0,2,0,248,1,0,0,0,0,1
19,0,0,1,0,1312,0,0,0,0,1,0
30,0,0,2,0,64,1,0,0,0,0,1
26,0,1,2,0,1547,0,0,0,0,1,0
18,0,0,1,0,1201,0,0,0,0,1,0
18,0,1,1,0,1135,0,0,0,0,1,0
19,0,0,1,0,1346,0,0,0,0,1,0
43,0,0,2,0,203,1,0,0,0,0,1
20,0,1,2,0,1551,0,0,1,0,1,0
17,0,0,1,0,1091,0,0,0,0,1,0
16,0,1,1,0,931,0,0,0,0,1,0
22,0,1,2,0,1107,0,0,0,0,1,0
37,0,0,2,0,122,1,0,0,0,0,1
17,0,0,1,0,1107,0,0,0,0,1,0
18,0,0,1,0,1240,0,0,0,0,1,0
21,0,0,3,0,1021,0,0,0,0,1,0
19,0,1,1,0,1202,0,0,0,0,1,0
33,0,0,1,0,76,1,0,0,0,0,1
39,0,0,1,0,1331,0,0,0,0,0,1
18,0,0,1,0,1201,0,0,0,0,1,0
39,0,0,1,0,136,1,0,0,0,0,1
37,0,0,2,0,274,1,0,0,0,0,1
35,0,0,2,0,230,1,0,0,0,0,1
15,0,1,1,0,1093,0,0,1,0,1,0
14,0,0,1,0,1075,0,0,1,0,1,0
31,0,0,1,0,230,1,0,0,0,0,1
22,0,1,2,0,1095,0,0,0,0,1,0
22,0,1,2,0,1091,0,0,0,0,1,0
43,0,0,2,0,1331,0,0,0,0,0,1
33,0,0,1,0,88,1,0,0,0,0,1
34,0,0,1,0,275,1,0,0,0,0,1
22,0,1,2,0,1095,0,0,0,0,1,0
37,0,0,2,0,170,1,0,0,0,0,1
19,0,0,1,0,1347,0,0,0,0,1,0
34,0,0,2,0,105,1,0,0,0,0,1
33,0,0,1,0,128,1,0,0,0,0,1
37,0,0,1,0,248,1,0,0,0,0,1
43,0,0,2,0,136,1,0,0,0,0,1
38,0,0,2,0,275,1,0,0,0,0,1
