sender_domain_age_days,sender_is_free_email,is_trusted_sender,local_part_length,local_has_digits,local_has_special,domain_has_hyphen,domain_length,label
760,0,0,5,0,0,1,25,1
1194,0,0,8,0,0,0,10,1
984,1,0,7,0,0,0,8,1
1324,0,0,2,0,0,0,11,0
1107,0,0,7,0,0,0,9,1
604,0,0,5,0,0,1,25,1
1426,0,0,6,0,0,0,12,1
1208,0,0,7,0,0,0,10,0
2054,0,0,6,0,0,1,19,1
1342,0,1,6,0,0,0,9,0
1107,0,0,7,0,0,0,9,0
1194,0,0,8,0,0,0,10,1
1342,0,1,6,0,0,0,9,0
1344,0,0,4,0,0,0,11,0
1095,0,0,7,0,0,0,9,1
877,0,0,8,0,0,0,7,0
1109,1,0,7,0,0,0,9,1
1327,0,0,8,0,0,0,11,0
1107,0,0,7,0,0,0,9,0
1627,0,1,6,0,0,0,11,0
408,0,0,8,0,0,1,22,1
1315,1,0,10,0,0,0,11,1
1728,0,1,9,0,0,0,12,0
984,1,0,7,0,0,0,8,1
1615,0,0,12,0,0,0,14,0
1194,0,0,8,0,0,0,10,1
760,0,0,5,0,0,1,25,1
1845,0,0,8,0,0,1,17,1
1490,0,0,5,0,0,0,13,1
678,0,0,7,0,0,1,25,1
760,0,0,5,0,0,1,25,1
984,1,0,7,0,0,0,8,1
1305,0,0,6,0,0,0,11,0
1490,0,0,5,0,0,0,13,1
1107,0,0,7,0,0,0,9,0
1327,0,0,8,0,0,0,11,0
1212,0,0,7,0,0,0,10,1
1547,0,0,7,0,0,0,13,0
365,0,0,6,0,0,1,22,1
1324,0,0,2,0,0,0,11,0
877,0,0,8,0,0,0,7,0
1729,0,1,10,0,0,0,12,0
1551,0,1,7,0,0,0,11,0
1426,0,0,6,0,0,0,12,1
604,0,0,5,0,0,1,25,1
1206,0,0,10,0,0,0,10,0
1109,1,0,7,0,0,0,9,1
1315,1,0,10,0,0,0,11,1
1729,0,1,10,0,0,0,12,0
365,0,0,6,0,0,1,22,1
1407,0,0,6,0,0,0,12,0
1490,0,0,5,0,0,0,13,1
604,0,0,5,0,0,1,25,1
1729,0,1,10,0,0,0,12,0
604,0,0,5,0,0,1,25,1
1087,1,0,3,0,0,0,9,1
408,0,0,8,0,0,1,22,1
1107,0,0,7,0,0,0,9,1
1109,1,0,7,0,0,0,9,1
1342,0,1,6,0,0,0,9,0
1426,0,0,6,0,0,0,12,1
1208,0,0,7,0,0,0,10,0
1107,0,0,7,0,0,0,9,0
1551,0,1,7,0,0,0,11,0
1490,0,0,5,0,0,0,13,1
1206,0,0,10,0,0,0,10,0
1095,0,0,7,0,0,0,9,1
1615,0,0,12,0,0,0,14,0
1426,0,0,6,0,0,0,12,1
1346,1,0,6,0,0,0,11,1
1407,0,0,6,0,0,0,12,0
1194,0,1,7,0,0,0,7,0
1615,0,0,12,0,0,0,14,0
1194,0,0,8,0,0,0,10,1
2054,0,0,6,0,0,1,19,1
1212,0,0,7,0,0,0,10,1
984,1,0,7,0,0,0,8,1
1107,0,0,7,0,0,0,9,0
678,0,0,7,0,0,1,25,1
1324,0,0,2,0,0,0,11,0
678,0,0,7,0,0,1,25,1
1087,1,0,3,0,0,0,9,1
1208,0,0,7,0,0,0,10,0
1426,0,0,6,0,0,0,12,0
1728,0,1,9,0,0,0,12,0
1324,0,0,2,0,0,0,11,0
1342,0,1,6,0,0,0,9,0
1342,0,1,6,0,0,0,9,0
1107,0,0,7,0,0,0,9,1
1627,0,1,6,0,0,0,11,0
1206,0,0,10,0,0,0,10,0
1547,0,0,7,0,0,0,13,0
1212,0,1,9,0,0,0,7,1
2054,0,0,6,0,0,1,19,1
1194,0,0,8,0,0,0,10,1
1208,0,0,7,0,0,0,10,0
1130,1,0,5,0,0,0,9,1
1109,1,0,7,0,0,0,9,1
1490,0,0,5,0,0,0,13,1
365,0,0,6,0,0,1,22,1
1391,0,0,8,0,0,0,12,1
1212,0,1,9,0,0,0,7,1
1407,0,0,6,0,0,0,12,0
1490,0,0,5,0,0,0,13,1
1627,0,1,6,0,0,0,11,0
1547,0,0,6,0,0,0,13,1
1305,0,0,6,0,0,0,11,0
1342,0,1,6,0,0,0,9,0
1407,0,0,6,0,0,0,12,0
1551,0,1,7,0,0,0,11,0
1212,0,0,7,0,0,0,10,1
1547,0,0,7,0,0,0,13,0
877,0,0,8,0,0,0,7,0
1342,0,1,6,0,0,0,9,0
1248,0,0,10,0,0,0,10,0
1212,0,0,7,0,0,0,10,1
1576,0,0,7,0,0,0,14,0
1729,0,1,10,0,0,0,12,0
1627,0,1,6,0,0,0,11,0
1202,0,0,2,0,0,0,10,0
1107,0,0,7,0,0,0,9,1
984,1,0,7,0,0,0,8,1
1551,0,1,7,0,0,0,11,0
1107,0,0,7,0,0,0,9,1
1087,1,0,3,0,0,0,9,1
1130,1,0,5,0,0,0,9,1
1344,0,0,4,0,0,0,11,0
1728,0,1,9,0,0,0,12,0
1212,0,1,9,0,0,0,7,1
1627,0,1,6,0,0,0,11,0
1206,0,0,10,0,0,0,10,0
408,0,0,8,0,0,1,22,1
1490,0,0,5,0,0,0,13,1
408,0,0,8,0,0,1,22,1
1208,0,0,7,0,0,0,10,0
984,1,0,7,0,0,0,8,1
1426,0,0,7,0,0,0,12,0
760,0,0,5,0,0,1,25,1
865,0,0,6,0,0,1,26,1
1095,0,0,7,0,0,0,9,1
1095,0,0,7,0,0,0,9,1
678,0,0,7,0,0,1,25,1
1208,0,0,7,0,0,0,10,0
1407,0,0,6,0,0,0,12,0
1107,0,0,7,0,0,0,9,1
984,1,0,7,0,0,0,8,1
1327,0,0,8,0,0,0,11,0
1551,0,1,7,0,0,0,11,0
1130,1,0,5,0,0,0,9,1
604,0,0,5,0,0,1,25,1
1551,0,1,9,0,0,0,11,0
1194,0,1,7,0,0,0,7,0
1327,0,0,8,0,0,0,11,0
1576,0,0,7,0,0,0,14,0
1305,0,0,6,0,0,0,11,0
1426,0,0,6,0,0,0,12,1
1576,0,0,7,0,0,0,14,0
760,0,0,5,0,0,1,25,1
1728,0,1,9,0,0,0,12,0
1845,0,0,8,0,0,1,17,1
1342,0,1,6,0,0,0,9,0
1194,0,1,7,0,0,0,7,0
1130,1,0,5,0,0,0,9,1
1305,0,0,6,0,0,0,11,0
1212,0,0,7,0,0,0,10,1
1208,0,0,7,0,0,0,10,0
1202,0,0,2,0,0,0,10,0
1407,0,0,6,0,0,0,12,0
1248,0,0,10,0,0,0,10,0
1547,0,0,7,0,0,0,13,0
1547,0,0,6,0,0,0,13,1
1212,0,0,7,0,0,0,10,1
982,0,0,6,0,0,0,8,0
1551,0,1,7,0,0,0,11,0
1551,0,1,7,0,0,0,11,0
1212,0,1,9,0,0,0,7,1
1426,0,0,6,0,0,0,12,1
760,0,0,5,0,0,1,25,1
877,0,0,8,0,0,0,7,0
1845,0,0,8,0,0,1,17,1
1212,0,0,7,0,0,0,10,1
1407,0,0,6,0,0,0,12,0
604,0,0,5,0,0,1,25,1
982,0,0,6,0,0,0,8,0
1087,1,0,3,0,0,0,9,1
1324,0,0,2,0,0,0,11,0
1212,0,1,9,0,0,0,7,1
1212,0,0,7,0,0,0,10,1
408,0,0,8,0,0,1,22,1
1551,0,1,9,0,0,0,11,0
1305,0,0,6,0,0,0,11,0
1342,0,1,6,0,0,0,9,0
1305,0,0,6,0,0,0,11,0
865,0,0,6,0,0,1,26,1
485,0,0,6,0,0,1,23,1
1342,0,1,6,0,0,0,9,0
1194,0,0,8,0,0,0,10,1
1206,0,0,10,0,0,0,10,0
2054,0,0,6,0,0,1,19,1
1194,0,0,8,0,0,0,10,1
1212,0,0,7,0,0,0,10,1
408,0,0,8,0,0,1,22,1
1206,0,0,10,0,0,0,10,0
865,0,0,6,0,0,1,26,1
1547,0,0,7,0,0,0,13,0
1130,1,0,5,0,0,0,9,1
1627,0,1,6,0,0,0,11,0
1109,1,0,7,0,0,0,9,1
485,0,0,6,0,0,1,23,1
1344,0,0,4,0,0,0,11,0
984,1,0,7,0,0,0,8,1
1202,0,0,2,0,0,0,10,0
1551,0,1,7,0,0,0,11,0
1426,0,0,7,0,0,0,12,0
1426,0,0,6,0,0,0,12,0
1344,0,0,4,0,0,0,11,0
1095,0,0,7,0,0,0,9,1
1095,0,0,7,0,0,0,9,1
1206,0,0,10,0,0,0,10,0
1391,0,0,8,0,0,0,12,1
1547,0,0,7,0,0,0,13,0
1407,0,0,6,0,0,0,12,0
365,0,0,6,0,0,1,22,1
1426,0,0,7,0,0,0,12,0
1194,0,0,8,0,0,0,10,1
1315,1,0,10,0,0,0,11,1
2054,0,0,6,0,0,1,19,1
1426,0,0,6,0,0,0,12,1
1202,0,0,2,0,0,0,10,0
678,0,0,7,0,0,1,25,1
1391,0,0,8,0,0,0,12,1
1391,0,0,8,0,0,0,12,1
1547,0,0,7,0,0,0,13,0
1342,0,1,6,0,0,0,9,0
1095,0,0,7,0,0,0,9,1
1206,0,0,10,0,0,0,10,0
1551,0,1,9,0,0,0,11,0
1087,1,0,3,0,0,0,9,1
678,0,0,7,0,0,1,25,1
1194,0,0,8,0,0,0,10,1
1324,0,0,2,0,0,0,11,0
1095,0,0,7,0,0,0,9,1
1087,1,0,3,0,0,0,9,1
1130,1,0,5,0,0,0,9,1
1095,0,0,7,0,0,0,9,1
1327,0,0,8,0,0,0,11,0
1109,1,0,7,0,0,0,9,1
1576,0,0,7,0,0,0,14,0
1627,0,1,6,0,0,0,11,0
1490,0,0,5,0,0,0,13,1
1615,0,0,12,0,0,0,14,0
865,0,0,6,0,0,1,26,1
1315,1,0,10,0,0,0,11,1
1324,0,0,2,0,0,0,11,0
1095,0,0,7,0,0,0,9,1
1551,0,1,7,0,0,0,11,0
1194,0,0,8,0,0,0,10,1
1627,0,1,6,0,0,0,11,0
1547,0,0,6,0,0,0,13,1
1627,0,1,6,0,0,0,11,0
1728,0,1,9,0,0,0,12,0
1202,0,0,2,0,0,0,10,0
1194,0,1,7,0,0,0,7,0
2054,0,0,6,0,0,1,19,1
1324,0,0,2,0,0,0,11,0
485,0,0,6,0,0,1,23,1
1194,0,0,8,0,0,0,10,1
1490,0,0,5,0,0,0,13,1
1407,0,0,6,0,0,0,12,0
1729,0,1,10,0,0,0,12,0
1130,1,0,5,0,0,0,9,1
2054,0,0,6,0,0,1,19,1
1109,1,0,7,0,0,0,9,1
760,0,0,5,0,0,1,25,1
1344,0,0,4,0,0,0,11,0
1551,0,1,7,0,0,0,11,0
1324,0,0,2,0,0,0,11,0
678,0,0,7,0,0,1,25,1
1344,0,0,4,0,0,0,11,0
1107,0,0,7,0,0,0,9,1
1551,0,1,9,0,0,0,11,0
1391,0,0,8,0,0,0,12,1
760,0,0,5,0,0,1,25,1
1107,0,0,7,0,0,0,9,1
984,1,0,7,0,0,0,8,1
1095,0,0,7,0,0,0,9,1
365,0,0,6,0,0,1,22,1
984,1,0,7,0,0,0,8,1
1305,0,0,6,0,0,0,11,0
1095,0,0,7,0,0,0,9,1
760,0,0,5,0,0,1,25,1
1426,0,0,6,0,0,0,12,0
1206,0,0,10,0,0,0,10,0
408,0,0,8,0,0,1,22,1
1212,0,0,7,0,0,0,10,1
1324,0,0,2,0,0,0,11,0
1407,0,0,6,0,0,0,12,0
1202,0,0,2,0,0,0,10,0
485,0,0,6,0,0,1,23,1
1107,0,0,7,0,0,0,9,0
1212,0,1,9,0,0,0,7,1
604,0,0,5,0,0,1,25,1
1202,0,0,2,0,0,0,10,0
1426,0,0,7,0,0,0,12,0
1490,0,0,5,0,0,0,13,1
678,0,0,7,0,0,1,25,1
678,0,0,7,0,0,1,25,1
1627,0,1,6,0,0,0,11,0
1426,0,0,6,0,0,0,12,0
1109,1,0,7,0,0,0,9,1
1426,0,0,6,0,0,0,12,0
1728,0,1,9,0,0,0,12,0
1305,0,0,6,0,0,0,11,0
1490,0,0,5,0,0,0,13,1
1729,0,1,10,0,0,0,12,0
865,0,0,6,0,0,1,26,1
1212,0,0,7,0,0,0,10,1
1130,1,0,5,0,0,0,9,1
604,0,0,5,0,0,1,25,1
1194,0,0,8,0,0,0,10,1
1615,0,0,12,0,0,0,14,0
1324,0,0,2,0,0,0,11,0
865,0,0,6,0,0,1,26,1
1551,0,1,7,0,0,0,11,0
2054,0,0,6,0,0,1,19,1
1248,0,0,10,0,0,0,10,0
1426,0,0,6,0,0,0,12,1
1551,0,1,7,0,0,0,11,0
1426,0,0,7,0,0,0,12,0
1107,0,0,7,0,0,0,9,0
365,0,0,6,0,0,1,22,1
1194,0,1,7,0,0,0,7,0
1107,0,0,7,0,0,0,9,0
1551,0,1,9,0,0,0,11,0
1107,0,0,7,0,0,0,9,1
1551,0,1,9,0,0,0,11,0
1194,0,1,7,0,0,0,7,0
1087,1,0,3,0,0,0,9,1
1107,0,0,7,0,0,0,9,0
604,0,0,5,0,0,1,25,1
408,0,0,8,0,0,1,22,1
1391,0,0,8,0,0,0,12,1
1327,0,0,8,0,0,0,11,0
1426,0,0,6,0,0,0,12,0
1426,0,0,6,0,0,0,12,1
1627,0,1,6,0,0,0,11,0
1305,0,0,6,0,0,0,11,0
1615,0,0,12,0,0,0,14,0
1248,0,0,10,0,0,0,10,0
1194,0,0,8,0,0,0,10,1
1547,0,0,7,0,0,0,13,0
1107,0,0,7,0,0,0,9,1
1391,0,0,8,0,0,0,12,1
865,0,0,6,0,0,1,26,1
1202,0,0,2,0,0,0,10,0
1407,0,0,6,0,0,0,12,0
2054,0,0,6,0,0,1,19,1
1206,0,0,10,0,0,0,10,0
1615,0,0,12,0,0,0,14,0
1547,0,0,7,0,0,0,13,0
1212,0,1,9,0,0,0,7,1
865,0,0,6,0,0,1,26,1
1547,0,0,6,0,0,0,13,1
877,0,0,8,0,0,0,7,0
1324,0,0,2,0,0,0,11,0
1327,0,0,8,0,0,0,11,0
982,0,0,6,0,0,0,8,0
1248,0,0,10,0,0,0,10,0
1248,0,0,10,0,0,0,10,0
1248,0,0,10,0,0,0,10,0
1344,0,0,4,0,0,0,11,0
1208,0,0,7,0,0,0,10,0
408,0,0,8,0,0,1,22,1
1426,0,0,6,0,0,0,12,0
1729,0,1,10,0,0,0,12,0
982,0,0,6,0,0,0,8,0
1547,0,0,7,0,0,0,13,0
1576,0,0,7,0,0,0,14,0
1212,0,0,7,0,0,0,10,1
1391,0,0,8,0,0,0,12,1
1391,0,0,8,0,0,0,12,1
1627,0,1,6,0,0,0,11,0
1206,0,0,10,0,0,0,10,0
1426,0,0,6,0,0,0,12,1
1109,1,0,7,0,0,0,9,1
1107,0,0,7,0,0,0,9,0
1206,0,0,10,0,0,0,10,0
1547,0,0,7,0,0,0,13,0
1728,0,1,9,0,0,0,12,0
760,0,0,5,0,0,1,25,1
1547,0,0,7,0,0,0,13,0
984,1,0,7,0,0,0,8,1
1248,0,0,10,0,0,0,10,0
678,0,0,7,0,0,1,25,1
1627,0,1,6,0,0,0,11,0
1095,0,0,7,0,0,0,9,1
1194,0,0,8,0,0,0,10,1
1344,0,0,4,0,0,0,11,0
760,0,0,5,0,0,1,25,1
1109,1,0,7,0,0,0,9,1
1576,0,0,7,0,0,0,14,0
1490,0,0,5,0,0,0,13,1
1426,0,0,6,0,0,0,12,0
877,0,0,8,0,0,0,7,0
2054,0,0,6,0,0,1,19,1
1327,0,0,8,0,0,0,11,0
1391,0,0,8,0,0,0,12,1
1426,0,0,7,0,0,0,12,0
1095,0,0,7,0,0,0,9,1
1206,0,0,10,0,0,0,10,0
1324,0,0,2,0,0,0,11,0
865,0,0,6,0,0,1,26,1
678,0,0,7,0,0,1,25,1
1324,0,0,2,0,0,0,11,0
1490,0,0,5,0,0,0,13,1
982,0,0,6,0,0,0,8,0
1107,0,0,7,0,0,0,9,1
1551,0,1,7,0,0,0,11,0
1212,0,0,7,0,0,0,10,1
1615,0,0,12,0,0,0,14,0
1305,0,0,6,0,0,0,11,0
1490,0,0,5,0,0,0,13,1
865,0,0,6,0,0,1,26,1
1426,0,0,7,0,0,0,12,0
1206,0,0,10,0,0,0,10,0
1547,0,0,6,0,0,0,13,1
1327,0,0,8,0,0,0,11,0
1344,0,0,4,0,0,0,11,0
1547,0,0,7,0,0,0,13,0
1426,0,0,6,0,0,0,12,0
1087,1,0,3,0,0,0,9,1
678,0,0,7,0,0,1,25,1
1202,0,0,2,0,0,0,10,0
1202,0,0,2,0,0,0,10,0
1194,0,1,7,0,0,0,7,0
604,0,0,5,0,0,1,25,1
1107,0,0,7,0,0,0,9,1
1087,1,0,3,0,0,0,9,1
1547,0,0,7,0,0,0,13,0
1551,0,1,7,0,0,0,11,0
1344,0,0,4,0,0,0,11,0
1615,0,0,12,0,0,0,14,0
877,0,0,8,0,0,0,7,0
485,0,0,6,0,0,1,23,1
365,0,0,6,0,0,1,22,1
1547,0,0,6,0,0,0,13,1
1344,0,0,4,0,0,0,11,0
1615,0,0,12,0,0,0,14,0
1212,0,0,7,0,0,0,10,1
1615,0,0,12,0,0,0,14,0
365,0,0,6,0,0,1,22,1
1206,0,0,10,0,0,0,10,0
1342,0,1,6,0,0,0,9,0
1845,0,0,8,0,0,1,17,1
1194,0,1,7,0,0,0,7,0
1728,0,1,9,0,0,0,12,0
1109,1,0,7,0,0,0,9,1
2054,0,0,6,0,0,1,19,1
1426,0,0,6,0,0,0,12,0
1615,0,0,12,0,0,0,14,0
1344,0,0,4,0,0,0,11,0
1315,1,0,10,0,0,0,11,1
1615,0,0,12,0,0,0,14,0
877,0,0,8,0,0,0,7,0
1845,0,0,8,0,0,1,17,1
1208,0,0,7,0,0,0,10,0
1212,0,1,9,0,0,0,7,1
1490,0,0,5,0,0,0,13,1
1206,0,0,10,0,0,0,10,0
1327,0,0,8,0,0,0,11,0
1407,0,0,6,0,0,0,12,0
408,0,0,8,0,0,1,22,1
1130,1,0,5,0,0,0,9,1
1490,0,0,5,0,0,0,13,1
1551,0,1,7,0,0,0,11,0
1426,0,0,6,0,0,0,12,1
1547,0,0,6,0,0,0,13,1
1107,0,0,7,0,0,0,9,1
1130,1,0,5,0,0,0,9,1
1426,0,0,6,0,0,0,12,0
1202,0,0,2,0,0,0,10,0
485,0,0,6,0,0,1,23,1
1107,0,0,7,0,0,0,9,1
1342,0,1,6,0,0,0,9,0
1206,0,0,10,0,0,0,10,0
982,0,0,6,0,0,0,8,0
2054,0,0,6,0,0,1,19,1
1426,0,0,7,0,0,0,12,0
1324,0,0,2,0,0,0,11,0
1728,0,1,9,0,0,0,12,0
1248,0,0,10,0,0,0,10,0
1426,0,0,7,0,0,0,12,0
1576,0,0,7,0,0,0,14,0
1087,1,0,3,0,0,0,9,1
1615,0,0,12,0,0,0,14,0
1202,0,0,2,0,0,0,10,0
1426,0,0,7,0,0,0,12,0
1426,0,0,6,0,0,0,12,1
604,0,0,5,0,0,1,25,1
1087,1,0,3,0,0,0,9,1
678,0,0,7,0,0,1,25,1
1615,0,0,12,0,0,0,14,0
1202,0,0,2,0,0,0,10,0
1728,0,1,9,0,0,0,12,0
1490,0,0,5,0,0,0,13,1
1305,0,0,6,0,0,0,11,0
1095,0,0,7,0,0,0,9,1
1551,0,1,7,0,0,0,11,0
1547,0,0,6,0,0,0,13,1
1315,1,0,10,0,0,0,11,1
865,0,0,6,0,0,1,26,1
1109,1,0,7,0,0,0,9,1
1426,0,0,6,0,0,0,12,0
1551,0,1,9,0,0,0,11,0
1327,0,0,8,0,0,0,11,0
1547,0,0,6,0,0,0,13,1
1095,0,0,7,0,0,0,9,1
1324,0,0,2,0,0,0,11,0
1845,0,0,8,0,0,1,17,1
1615,0,0,12,0,0,0,14,0
1547,0,0,7,0,0,0,13,0
1324,0,0,2,0,0,0,11,0
1490,0,0,5,0,0,0,13,1
365,0,0,6,0,0,1,22,1
1490,0,0,5,0,0,0,13,1
1627,0,1,6,0,0,0,11,0
1305,0,0,6,0,0,0,11,0
1547,0,0,6,0,0,0,13,1
1342,0,1,6,0,0,0,9,0
1346,1,0,6,0,0,0,11,1
1107,0,0,7,0,0,0,9,1
1324,0,0,2,0,0,0,11,0
678,0,0,7,0,0,1,25,1
1729,0,1,10,0,0,0,12,0
1305,0,0,6,0,0,0,11,0
1212,0,0,7,0,0,0,10,1
1490,0,0,5,0,0,0,13,1
1407,0,0,6,0,0,0,12,0
877,0,0,8,0,0,0,7,0
760,0,0,5,0,0,1,25,1
1194,0,0,8,0,0,0,10,1
678,0,0,7,0,0,1,25,1
1551,0,1,9,0,0,0,11,0
1344,0,0,4,0,0,0,11,0
1426,0,0,6,0,0,0,12,1
1109,1,0,7,0,0,0,9,1
1547,0,0,7,0,0,0,13,0
865,0,0,6,0,0,1,26,1
1426,0,0,6,0,0,0,12,1
604,0,0,5,0,0,1,25,1
1426,0,0,7,0,0,0,12,0
678,0,0,7,0,0,1,25,1
1305,0,0,6,0,0,0,11,0
1202,0,0,2,0,0,0,10,0
1729,0,1,10,0,0,0,12,0
1576,0,0,7,0,0,0,14,0
1490,0,0,5,0,0,0,13,1
1576,0,0,7,0,0,0,14,0
485,0,0,6,0,0,1,23,1
1615,0,0,12,0,0,0,14,0
365,0,0,6,0,0,1,22,1
678,0,0,7,0,0,1,25,1
1426,0,0,6,0,0,0,12,1
1194,0,1,7,0,0,0,7,0
1315,1,0,10,0,0,0,11,1
1208,0,0,7,0,0,0,10,0
1305,0,0,6,0,0,0,11,0
984,1,0,7,0,0,0,8,1
485,0,0,6,0,0,1,23,1
678,0,0,7,0,0,1,25,1
877,0,0,8,0,0,0,7,0
1728,0,1,9,0,0,0,12,0
1547,0,0,6,0,0,0,13,1
678,0,0,7,0,0,1,25,1
1342,0,1,6,0,0,0,9,0
1208,0,0,7,0,0,0,10,0
1344,0,0,4,0,0,0,11,0
760,0,0,5,0,0,1,25,1
984,1,0,7,0,0,0,8,1
1627,0,1,6,0,0,0,11,0
1344,0,0,4,0,0,0,11,0
408,0,0,8,0,0,1,22,1
678,0,0,7,0,0,1,25,1
877,0,0,8,0,0,0,7,0
1202,0,0,2,0,0,0,10,0
1845,0,0,8,0,0,1,17,1
1426,0,0,6,0,0,0,12,0
604,0,0,5,0,0,1,25,1
1551,0,1,9,0,0,0,11,0
1305,0,0,6,0,0,0,11,0
1728,0,1,9,0,0,0,12,0
1305,0,0,6,0,0,0,11,0
984,1,0,7,0,0,0,8,1
1208,0,0,7,0,0,0,10,0
365,0,0,6,0,0,1,22,1
1327,0,0,8,0,0,0,11,0
1208,0,0,7,0,0,0,10,0
1551,0,1,7,0,0,0,11,0
1615,0,0,12,0,0,0,14,0
1547,0,0,7,0,0,0,13,0
604,0,0,5,0,0,1,25,1
1426,0,0,6,0,0,0,12,0
1109,1,0,7,0,0,0,9,1
1728,0,1,9,0,0,0,12,0
1194,0,0,8,0,0,0,10,1
1547,0,0,6,0,0,0,13,1
760,0,0,5,0,0,1,25,1
1426,0,0,6,0,0,0,12,1
1845,0,0,8,0,0,1,17,1
1107,0,0,7,0,0,0,9,0
1107,0,0,7,0,0,0,9,1
1426,0,0,7,0,0,0,12,0
1547,0,0,6,0,0,0,13,1
1202,0,0,2,0,0,0,10,0
1107,0,0,7,0,0,0,9,1
1087,1,0,3,0,0,0,9,1
1551,0,1,7,0,0,0,11,0
1107,0,0,7,0,0,0,9,0
1107,0,0,7,0,0,0,9,1
604,0,0,5,0,0,1,25,1
1087,1,0,3,0,0,0,9,1
984,1,0,7,0,0,0,8,1
1327,0,0,8,0,0,0,11,0
1551,0,1,7,0,0,0,11,0
1194,0,0,8,0,0,0,10,1
2054,0,0,6,0,0,1,19,1
408,0,0,8,0,0,1,22,1
604,0,0,5,0,0,1,25,1
1130,1,0,5,0,0,0,9,1
408,0,0,8,0,0,1,22,1
982,0,0,6,0,0,0,8,0
982,0,0,6,0,0,0,8,0
1407,0,0,6,0,0,0,12,0
1327,0,0,8,0,0,0,11,0
1202,0,0,2,0,0,0,10,0
1551,0,1,9,0,0,0,11,0
1547,0,0,6,0,0,0,13,1
1342,0,1,6,0,0,0,9,0
1551,0,1,7,0,0,0,11,0
1407,0,0,6,0,0,0,12,0
1107,0,0,7,0,0,0,9,0
1202,0,0,2,0,0,0,10,0
1426,0,0,6,0,0,0,12,0
1615,0,0,12,0,0,0,14,0
1627,0,1,6,0,0,0,11,0
1109,1,0,7,0,0,0,9,1
1202,0,0,2,0,0,0,10,0
1095,0,0,7,0,0,0,9,1
1391,0,0,8,0,0,0,12,1
1327,0,0,8,0,0,0,11,0
1095,0,0,7,0,0,0,9,1
1627,0,1,6,0,0,0,11,0
1202,0,0,2,0,0,0,10,0
1426,0,0,6,0,0,0,12,0
1547,0,0,7,0,0,0,13,0
1407,0,0,6,0,0,0,12,0
1087,1,0,3,0,0,0,9,1
1426,0,0,7,0,0,0,12,0
865,0,0,6,0,0,1,26,1
1095,0,0,7,0,0,0,9,1
1327,0,0,8,0,0,0,11,0
1315,1,0,10,0,0,0,11,1
1547,0,0,7,0,0,0,13,0
865,0,0,6,0,0,1,26,1
1087,1,0,3,0,0,0,9,1
1087,1,0,3,0,0,0,9,1
865,0,0,6,0,0,1,26,1
604,0,0,5,0,0,1,25,1
1315,1,0,10,0,0,0,11,1
1194,0,0,8,0,0,0,10,1
1547,0,0,7,0,0,0,13,0
1202,0,0,2,0,0,0,10,0
1490,0,0,5,0,0,0,13,1
1212,0,0,7,0,0,0,10,1
1344,0,0,4,0,0,0,11,0
760,0,0,5,0,0,1,25,1
1490,0,0,5,0,0,0,13,1
1342,0,1,6,0,0,0,9,0
1212,0,0,7,0,0,0,10,1
1315,1,0,10,0,0,0,11,1
1729,0,1,10,0,0,0,12,0
1551,0,1,9,0,0,0,11,0
408,0,0,8,0,0,1,22,1
1729,0,1,10,0,0,0,12,0
1107,0,0,7,0,0,0,9,0
1407,0,0,6,0,0,0,12,0
2054,0,0,6,0,0,1,19,1
1130,1,0,5,0,0,0,9,1
1107,0,0,7,0,0,0,9,0
877,0,0,8,0,0,0,7,0
1391,0,0,8,0,0,0,12,1
1615,0,0,12,0,0,0,14,0
877,0,0,8,0,0,0,7,0
1248,0,0,10,0,0,0,10,0
1212,0,1,9,0,0,0,7,1
1212,0,1,9,0,0,0,7,1
1305,0,0,6,0,0,0,11,0
2054,0,0,6,0,0,1,19,1
1208,0,0,7,0,0,0,10,0
1327,0,0,8,0,0,0,11,0
1627,0,1,6,0,0,0,11,0
485,0,0,6,0,0,1,23,1
1194,0,0,8,0,0,0,10,1
1208,0,0,7,0,0,0,10,0
1095,0,0,7,0,0,0,9,1
604,0,0,5,0,0,1,25,1
1426,0,0,6,0,0,0,12,1
982,0,0,6,0,0,0,8,0
1087,1,0,3,0,0,0,9,1
1208,0,0,7,0,0,0,10,0
1342,0,1,6,0,0,0,9,0
1107,0,0,7,0,0,0,9,0
604,0,0,5,0,0,1,25,1
1109,1,0,7,0,0,0,9,1
1095,0,0,7,0,0,0,9,1
408,0,0,8,0,0,1,22,1
485,0,0,6,0,0,1,23,1
408,0,0,8,0,0,1,22,1
1212,0,1,9,0,0,0,7,1
1391,0,0,8,0,0,0,12,1
1212,0,1,9,0,0,0,7,1
1426,0,0,6,0,0,0,12,1
1615,0,0,12,0,0,0,14,0
604,0,0,5,0,0,1,25,1
1206,0,0,10,0,0,0,10,0
1490,0,0,5,0,0,0,13,1
1194,0,0,8,0,0,0,10,1
1202,0,0,2,0,0,0,10,0
1109,1,0,7,0,0,0,9,1
1729,0,1,10,0,0,0,12,0
2054,0,0,6,0,0,1,19,1
1107,0,0,7,0,0,0,9,1
1346,1,0,6,0,0,0,11,1
1627,0,1,6,0,0,0,11,0
365,0,0,6,0,0,1,22,1
877,0,0,8,0,0,0,7,0
1248,0,0,10,0,0,0,10,0
1728,0,1,9,0,0,0,12,0
1615,0,0,12,0,0,0,14,0
1426,0,0,7,0,0,0,12,0
1212,0,1,9,0,0,0,7,1
